"assembly_accession"	"biosample"	"bioproject"	"soil_class"	"isolation_source"	"env_medium"	"env_local_scale"
"GCA_013822245.1"	"SAMN08286410"	"PRJNA323575"	"insufficient_metadata"	""	""	""
"GCA_964385495.1"	"SAMEA117206688"	"PRJEB82487"	"insufficient_metadata"	"biofilter metagenome"	""	""
"GCA_964391655.1"	"SAMEA117375752"	"PRJEB82487"	"insufficient_metadata"	"stromatolite metagenome"	""	""
"GCA_964402295.1"	"SAMEA117287025"	"PRJEB82487"	"insufficient_metadata"	"hot springs metagenome"	""	""
"GCA_964450255.1"	"SAMEA117296429"	"PRJEB82487"	"insufficient_metadata"	"rock metagenome"	""	""
"GCA_964558355.1"	"SAMEA117387495"	"PRJEB82487"	"insufficient_metadata"	"metagenome"	""	""
"GCA_964604595.1"	"SAMEA117297806"	"PRJEB82487"	"insufficient_metadata"	"bioreactor metagenome"	""	""
"GCA_011333485.1"	"SAMN09640010"	"PRJNA480137"	"non_soil"	"mud, sediment"	""	""
"GCA_011357885.1"	"SAMN09640130"	"PRJNA480137"	"non_soil"	"mud, sediment"	""	""
"GCA_011371905.1"	"SAMN09638898"	"PRJNA480137"	"non_soil"	"mud, sediment"	""	""
"GCA_011374145.1"	"SAMN09638924"	"PRJNA480137"	"non_soil"	"mud, sediment"	""	""
"GCA_011375985.1"	"SAMN09638950"	"PRJNA480137"	"non_soil"	"mud, sediment"	""	""
"GCA_011389255.1"	"SAMN09639927"	"PRJNA480137"	"non_soil"	"mud, sediment"	""	""
"GCA_016185465.1"	"SAMN15435073"	"PRJNA640378"	"non_soil"	"groundwater"	"not applicable"	"not applicable"
"GCA_016191645.1"	"SAMN15435428"	"PRJNA640378"	"non_soil"	"groundwater"	"not applicable"	"not applicable"
"GCA_016195925.1"	"SAMN15435504"	"PRJNA640378"	"non_soil"	"groundwater"	"not applicable"	"not applicable"
"GCA_016213245.1"	"SAMN15436257"	"PRJNA640378"	"non_soil"	"groundwater"	"not applicable"	"not applicable"
"GCA_025353365.1"	"SAMN30206052"	"PRJNA781406"	"non_soil"	"sediment"	"stream"	"stream"
"GCA_025357445.1"	"SAMN30205864"	"PRJNA781406"	"non_soil"	"sediment"	"stream"	"stream"
"GCA_025358475.1"	"SAMN30206026"	"PRJNA781406"	"non_soil"	"sediment"	"stream"	"stream"
"GCA_025361425.1"	"SAMN30206068"	"PRJNA781406"	"non_soil"	"sediment"	"stream"	"stream"
"GCA_026394025.1"	"SAMN30025947"	"PRJNA852163"	"non_soil"	"lake water column"	"not applicable"	"not applicable"
"GCA_037442245.1"	"SAMN31096889"	"PRJNA627197"	"non_soil"	"fluid and sediments from hot springs and volcanic lakes"	"hydrothermal fluid[ENVO:01000134]"	"hot spring[ENVO:00000051]"
"GCA_043784195.1"	"SAMN39316517"	"PRJNA781406"	"non_soil"	"sediment"	"stream"	"stream"
"GCA_964478395.1"	"SAMEA117292557"	"PRJEB82487"	"non_soil"	"sludge metagenome"	""	""
"GCA_964604945.1"	"SAMEA117391114"	"PRJEB82487"	"non_soil"	"activated sludge metagenome"	""	""
