run	continent	acidic_soil_type	bioproject	biosample	ecosystem	location	latitude	longitude	selection_reason	pH_status	include_in_global_balanced_pilot	source_type	soil_only	acidic_soil
SRR39138955	Asia	China red/acid soil	PRJNA1478117	SAMN60832194	Red/acid soil	China			Asia representative; China acidic/red soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR39138956	Asia	China red/acid soil	PRJNA1478117	SAMN60832193	Red/acid soil	China			Asia representative; China acidic/red soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR39138957	Asia	China red/acid soil	PRJNA1478117	SAMN60832192	Red/acid soil	China			Asia representative; China acidic/red soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR39138958	Asia	China red/acid soil	PRJNA1478117	SAMN60832191	Red/acid soil	China			Asia representative; China acidic/red soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR39138959	Asia	China red/acid soil	PRJNA1478117	SAMN60832190	Red/acid soil	China			Asia representative; China acidic/red soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR35729002	Asia	Acidic paddy soil	PRJNA1337480	SAMN52321188	Paddy soil	Asia			Asia paddy-soil representative; substitutes for T6 paddy MAGs without available SRA reads	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR35729003	Asia	Acidic paddy soil	PRJNA1337480	SAMN52321187	Paddy soil	Asia			Asia paddy-soil representative; substitutes for T6 paddy MAGs without available SRA reads	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR35729004	Asia	Acidic paddy soil	PRJNA1337480	SAMN52321186	Paddy soil	Asia			Asia paddy-soil representative; substitutes for T6 paddy MAGs without available SRA reads	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR35729005	Asia	Acidic paddy soil	PRJNA1337480	SAMN52321185	Paddy soil	Asia			Asia paddy-soil representative; substitutes for T6 paddy MAGs without available SRA reads	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR35729010	Asia	Acidic paddy soil	PRJNA1337480	SAMN52321190	Paddy soil	Asia			Asia paddy-soil representative; substitutes for T6 paddy MAGs without available SRA reads	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR37443112	Europe	Acidic forest soil	PRJNA1431341	SAMN56009528	Forest soil	Europe			Europe representative; acidic/forest soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR37443113	Europe	Acidic forest soil	PRJNA1431341	SAMN56009527	Forest soil	Europe			Europe representative; acidic/forest soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR37443114	Europe	Acidic forest soil	PRJNA1431341	SAMN56009526	Forest soil	Europe			Europe representative; acidic/forest soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
SRR37443115	Europe	Acidic forest soil	PRJNA1431341	SAMN56009525	Forest soil	Europe			Europe representative; acidic/forest soil SRA candidate	needs_metadata_or_OpenLandMap_confirmation	yes	external_acidic_soil_project_reads	yes	yes
