run	bioproject	biosample	continent	acidic_soil_type	ecosystem	location	latitude	longitude	pH	pH_status	selection_reason	project_dedup_group	site_dedup_group	selection_rank	coordinate_status	metadata_quality_flag	include_in_global_balanced_pilot	source_type	soil_only	acidic_soil	soil_source_evidence
SRR34539418	PRJNA1287113	SAMN49893970	Asia	China red/acid soil	Red/acid soil	China:ZiBo	36.0	118.0		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1287113	China:ZiBo	1	confirmed_lat_lon	candidate	yes	external_acidic_soil_project_reads	yes	yes	Metagenome or environmental sample from soil metagenome; acidic soil; China:ZiBo; 36 N 118 E
SRR34539417	PRJNA1287113	SAMN49893971	Asia	China red/acid soil	Red/acid soil	China:ZiBo	36.0	118.0		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1287113	China:ZiBo	2	confirmed_lat_lon	candidate	yes	external_acidic_soil_project_reads	yes	yes	Metagenome or environmental sample from soil metagenome; acidic soil; China:ZiBo; 36 N 118 E
SRR34438562	PRJNA1288730	SAMN49860810	Asia	China red/acid soil	Red/acid soil	China:Tai'an	36.2	117.13		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1288730	China:Tai'an	3	confirmed_lat_lon	candidate	yes	external_acidic_soil_project_reads	yes	yes	Sample_02; acidic soil 0mg/L Rep 2; China:Tai'an; 36.20 N 117.13 E
SRR34438551	PRJNA1288730	SAMN49860811	Asia	China red/acid soil	Red/acid soil	China:Tai'an	36.2	117.13		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1288730	China:Tai'an	4	confirmed_lat_lon	candidate	yes	external_acidic_soil_project_reads	yes	yes	Sample_03; acidic soil 0mg/L Rep 3; China:Tai'an; 36.20 N 117.13 E
SRR36607663	PRJNA1313400	SAMN51203942	Asia	China red/acid soil	Red/acid soil	China: JiangXi	26.25539	115.275306		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1313400	China: JiangXi	5	confirmed_lat_lon	candidate	yes	external_acidic_soil_project_reads	yes	yes	Unvegetated control plot from Granite (XG) site biological replicate 1; soil; eroded red soil area: unvegetated control plot; soil; China: JiangXi; 26.255390 N 115.275306 E
SRR25581357	PRJNA1003687	SAMN36903833	Asia	Acidic paddy soil	Paddy soil	India: Kuttanad, Kerala	9.35	76.4		needs_metadata_or_OpenLandMap_confirmation	Asia representative; Acidic paddy soil	PRJNA1003687	India: Kuttanad, Kerala	1	confirmed_lat_lon	candidate	yes	external_acidic_soil_project_reads	yes	yes	Rhizosphere samples from acidic paddy soil; paddy rhizosphere soil; India: Kuttanad, Kerala; 9.35 N 76.40 E
SRR30863179	PRJNA1167190	SAMN43986802	Asia	Acidic paddy soil	Paddy soil	China: Shantou	23.641777	116.834638		needs_metadata_or_OpenLandMap_confirmation	Asia representative; Acidic paddy soil	PRJNA1167190	China: Shantou	2	confirmed_lat_lon	candidate	yes	external_acidic_soil_project_reads	yes	yes	Transfer8FA; soil biome [ENVO:01001044]; rice field [ENVO:00000296]; surface soil [ENVO:02000059]; China: Shantou; 23.641777 N 116.834638 E
SRR30863178	PRJNA1167190	SAMN43986803	Asia	Acidic paddy soil	Paddy soil	China: Shantou	23.641777	116.834638		needs_metadata_or_OpenLandMap_confirmation	Asia representative; Acidic paddy soil	PRJNA1167190	China: Shantou	3	confirmed_lat_lon	candidate	yes	external_acidic_soil_project_reads	yes	yes	Transfer8HA; soil biome [ENVO:01001044]; rice field [ENVO:00000296]; surface soil [ENVO:02000059]; China: Shantou; 23.641777 N 116.834638 E
SRR32502498	PRJNA1229087	SAMN47119334	Asia	Acidic paddy soil	Paddy soil	China: Jiangxi	28.26	115.13		needs_metadata_or_OpenLandMap_confirmation	Asia representative; Acidic paddy soil	PRJNA1229087	China: Jiangxi	4	confirmed_lat_lon	candidate	yes	external_acidic_soil_project_reads	yes	yes	red-yellow paddy soil; China: Jiangxi; 28.26 N 115.13 E
SRR32502497	PRJNA1229087	SAMN47119335	Asia	Acidic paddy soil	Paddy soil	China: Jiangxi	28.26	115.14		needs_metadata_or_OpenLandMap_confirmation	Asia representative; Acidic paddy soil	PRJNA1229087	China: Jiangxi	5	confirmed_lat_lon	candidate	yes	external_acidic_soil_project_reads	yes	yes	red-yellow paddy soil; China: Jiangxi; 28.26 N 115.14 E
