run	bioproject	biosample	continent	acidic_soil_type	ecosystem	location	latitude	longitude	pH	pH_status	selection_reason	project_dedup_group	site_dedup_group	selection_rank	coordinate_status	metadata_quality_flag	include_in_global_balanced_pilot	source_type	soil_only	acidic_soil	soil_source_evidence
SRR39138955	PRJNA1478117	SAMN60832194	Asia	China red/acid soil	Red/acid soil	China:Beijing	39.906217	116.3912766		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1478117	China:Beijing		confirmed_lat_lon	not_selected_after_project_dedup:candidate	no	external_acidic_soil_project_reads	yes	yes	Metagenome or environmental sample from soil metagenome; Experimental sample; China:Beijing; 39.906217 N 116.3912766 E
SRR39138956	PRJNA1478117	SAMN60832193	Asia	China red/acid soil	Red/acid soil	China:Beijing	39.906217	116.3912765		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1478117	China:Beijing		confirmed_lat_lon	not_selected_after_project_dedup:candidate	no	external_acidic_soil_project_reads	yes	yes	Metagenome or environmental sample from soil metagenome; Experimental sample; China:Beijing; 39.906217 N 116.3912765 E
SRR39138957	PRJNA1478117	SAMN60832192	Asia	China red/acid soil	Red/acid soil	China:Beijing	39.906217	116.3912764		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1478117	China:Beijing		confirmed_lat_lon	not_selected_after_project_dedup:candidate	no	external_acidic_soil_project_reads	yes	yes	Metagenome or environmental sample from soil metagenome; Experimental sample; China:Beijing; 39.906217 N 116.3912764 E
SRR39138958	PRJNA1478117	SAMN60832191	Asia	China red/acid soil	Red/acid soil	China:Beijing	39.906217	116.3912763		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1478117	China:Beijing		confirmed_lat_lon	not_selected_after_project_dedup:candidate	no	external_acidic_soil_project_reads	yes	yes	Metagenome or environmental sample from soil metagenome; Experimental sample; China:Beijing; 39.906217 N 116.3912763 E
SRR39138959	PRJNA1478117	SAMN60832190	Asia	China red/acid soil	Red/acid soil	China:Beijing	39.906217	116.3912762		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1478117	China:Beijing		confirmed_lat_lon	not_selected_after_project_dedup:candidate	no	external_acidic_soil_project_reads	yes	yes	Metagenome or environmental sample from soil metagenome; Experimental sample; China:Beijing; 39.906217 N 116.3912762 E
SRR39138960	PRJNA1478117	SAMN60832189	Asia	China red/acid soil	Red/acid soil	China:Beijing	39.906217	116.3912761		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1478117	China:Beijing		confirmed_lat_lon	not_selected_after_project_dedup:candidate	no	external_acidic_soil_project_reads	yes	yes	Metagenome or environmental sample from soil metagenome; Experimental sample; China:Beijing; 39.906217 N 116.3912761 E
SRR39138961	PRJNA1478117	SAMN60832188	Asia	China red/acid soil	Red/acid soil	China:Beijing	39.906217	116.391276		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1478117	China:Beijing		confirmed_lat_lon	not_selected_after_project_dedup:candidate	no	external_acidic_soil_project_reads	yes	yes	Metagenome or environmental sample from soil metagenome; Experimental sample; China:Beijing; 39.906217 N 116.3912760 E
SRR39138962	PRJNA1478117	SAMN60832187	Asia	China red/acid soil	Red/acid soil	China:Beijing	39.906217	116.3912759		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1478117	China:Beijing		confirmed_lat_lon	not_selected_after_project_dedup:candidate	no	external_acidic_soil_project_reads	yes	yes	Metagenome or environmental sample from soil metagenome; Experimental sample; China:Beijing; 39.906217 N 116.3912759 E
SRR39138963	PRJNA1478117	SAMN60832204	Asia	China red/acid soil	Red/acid soil	China:Beijing	39.906217	116.3912776		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1478117	China:Beijing		confirmed_lat_lon	not_selected_after_project_dedup:candidate	no	external_acidic_soil_project_reads	yes	yes	Metagenome or environmental sample from soil metagenome; Experimental sample; China:Beijing; 39.906217 N 116.3912776 E
SRR39138964	PRJNA1478117	SAMN60832203	Asia	China red/acid soil	Red/acid soil	China:Beijing	39.906217	116.3912775		needs_metadata_or_OpenLandMap_confirmation	Asia representative; China red/acid soil	PRJNA1478117	China:Beijing		confirmed_lat_lon	not_selected_after_project_dedup:candidate	no	external_acidic_soil_project_reads	yes	yes	Metagenome or environmental sample from soil metagenome; Experimental sample; China:Beijing; 39.906217 N 116.3912775 E
