mag_id	sample_prefix	sample	project	source	nation	continent	ecosystem	paired_seqs	latitude	longitude	bioproject	biosample	soil_pH	metadata_status
SRR10489815bin.32	SRR10489815bin	SRR10489815	SRA	Public Data	Russia: Chersky	Europe	Tundra	80250800	68.612499999999997	161.35	PRJNA588342	SAMN13241871		matched_no_pH_in_supplementary_data_1
SRR11833744bin.14	SRR11833744bin	SRR11833744	SRA	Public Data	Australia: New South Wales	Australia	Forest	265247444	-33.6	150	PRJNA620628	SAMN14510940		matched_no_pH_in_supplementary_data_1
SRR12756247bin.2	SRR12756247bin	SRR12756247	SRA	Public Data	United States	North America	Tundra	19189592	68.38	-149.43	PRJNA666429	SAMN16293045		matched_no_pH_in_supplementary_data_1
SRR3984960rbin.11	SRR3984960rbin	SRR3984960	SRA	Public Data	United States	North America	Tundra	61973456	71.299899999999994	-156.61000000000001	PRJNA330286	SAMN05421610		matched_no_pH_in_supplementary_data_1
SRR3984963rbin.20	SRR3984963rbin	SRR3984963	SRA	Public Data	United States	North America	Tundra	69232792	71.299899999999994	-156.61000000000001	PRJNA330290	SAMN05422058		matched_no_pH_in_supplementary_data_1
SRR3985190rbin.9	SRR3985190rbin	SRR3985190	SRA	Public Data	United States	North America	Tundra	58587508	71.299899999999994	-156.61000000000001	PRJNA330294	SAMN05421916		matched_no_pH_in_supplementary_data_1
SRR3985390rbin.9	SRR3985390rbin	SRR3985390	SRA	Public Data	United States	North America	Tundra	65098388	71.299899999999994	-156.61000000000001	PRJNA330277	SAMN05422239		matched_no_pH_in_supplementary_data_1
SRR3985395rbin.21	SRR3985395rbin	SRR3985395	SRA	Public Data	United States	North America	Tundra	75323826	71.299899999999994	-156.61000000000001	PRJNA330281	SAMN05421586		matched_no_pH_in_supplementary_data_1
SRR3985396rbin.21	SRR3985396rbin	SRR3985396	SRA	Public Data	United States	North America	Tundra	52894196	71.299899999999994	-156.61000000000001	PRJNA330279	SAMN05422087		matched_no_pH_in_supplementary_data_1
SRR3985424rbin.6	SRR3985424rbin	SRR3985424	SRA	Public Data	United States	North America	Tundra	52946306	71.299899999999994	-156.61000000000001	PRJNA330293	SAMN05422056		matched_no_pH_in_supplementary_data_1
SRR3989121rbin.9	SRR3989121rbin	SRR3989121	SRA	Public Data	United States	North America	Tundra	131541658	71.290549999999996	-156.78864300000001	PRJNA330055	SAMN05422037		matched_no_pH_in_supplementary_data_1
SRR3989257rbin.11	SRR3989257rbin	SRR3989257	SRA	Public Data	United States	North America	Tundra	99998296	71.270938999999998	-156.810374	PRJNA330166	SAMN05422028		matched_no_pH_in_supplementary_data_1
SRR5262248rbin.19	SRR5262248rbin	SRR5262248	SRA	Public Data	Panama	North America	Forest	400497130	9.1085999999999991	-79.843599999999995	PRJNA374886	SAMN06339525		matched_no_pH_in_supplementary_data_1
SRR5450438rbin.2	SRR5450438rbin	SRR5450438	SRA	Public Data	United States	North America	Tundra	41701606	68.613699999999994	-149.31440000000001	PRJNA365647	SAMN06264613		matched_no_pH_in_supplementary_data_1
SRR5450438rbin.5	SRR5450438rbin	SRR5450438	SRA	Public Data	United States	North America	Tundra	41701606	68.613699999999994	-149.31440000000001	PRJNA365647	SAMN06264613		matched_no_pH_in_supplementary_data_1
SRR5450747rbin.1	SRR5450747rbin	SRR5450747	SRA	Public Data	United States	North America	Tundra	39647094	68.613699999999994	-149.31440000000001	PRJNA367093	SAMN06267413		matched_no_pH_in_supplementary_data_1
SRR5664280rbin.5	SRR5664280rbin	SRR5664280	SRA	Public Data	United States	North America	Tundra	69337688	71.299000000000007	-156.61000000000001	PRJNA375630	SAMN06343932		matched_no_pH_in_supplementary_data_1
SRR5665647rbin.2	SRR5665647rbin	SRR5665647	SRA	Public Data	United States	North America	Tundra	288005060	71.299000000000007	-156.61000000000001	PRJNA375634	SAMN06343936		matched_no_pH_in_supplementary_data_1
SRR5665811rbin.1	SRR5665811rbin	SRR5665811	SRA	Public Data	United States	North America	Tundra	77545428	71.299000000000007	-156.61000000000001	PRJNA375637	SAMN06343939		matched_no_pH_in_supplementary_data_1
SRR5674476rbin.4	SRR5674476rbin	SRR5674476	SRA	Public Data	United States	North America	Tundra	268408060	71.299000000000007	-156.61000000000001	PRJNA375638	SAMN06343940		matched_no_pH_in_supplementary_data_1
SRR7097862rbin.18	SRR7097862rbin	SRR7097862	SRA	Public Data	United States	North America	Forest	290200656	42.481015999999997	-72.178342999999998	PRJNA441488	SAMN08778042		matched_no_pH_in_supplementary_data_1
SRR7097863rbin.22	SRR7097863rbin	SRR7097863	SRA	Public Data	United States	North America	Forest	330162044	42.481015999999997	-72.178342999999998	PRJNA441490	SAMN08777411		matched_no_pH_in_supplementary_data_1
SRR8879130rbin.46	SRR8879130rbin	SRR8879130	SRA	Public Data	United States	North America	Wetland	425078550	26.500800000000002	-80.239800000000002	PRJNA531771	SAMN11382438		matched_no_pH_in_supplementary_data_1
SRR8879131rbin.50	SRR8879131rbin	SRR8879131	SRA	Public Data	United States	North America	Wetland	497790966	26.500800000000002	-80.239800000000002	PRJNA531770	SAMN11382426		matched_no_pH_in_supplementary_data_1
