"mag_id"	"source_sample"	"completeness"	"contamination"	"checkm2_completeness"	"checkm2_contamination"	"genome_length_bp"	"n50"	"quality_group"	"include_in_current_reference"	"note"
"SRR10489815bin.32"	"SRR10489815"	"57.8"	"1.75"	"65.7"	"1.99"	"3991533"	"4235"	"low_or_partial_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR11833744bin.14"	"SRR11833744"	"58"	"3.36"	"70"	"6.68"	"5586376"	"8911"	"low_or_partial_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR12756247bin.2"	"SRR12756247"	"95.18"	"6.24"	"95.29"	"2.15"	"6036700"	"11698"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR3984960rbin.11"	"SRR3984960"	"58.33"	"3.45"	"63.22"	"3.29"	"4059438"	"5615"	"low_or_partial_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR3984963rbin.20"	"SRR3984963"	"59.65"	"8.68"	"59.63"	"8.51"	"4017146"	"2765"	"low_or_partial_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR3985190rbin.9"	"SRR3985190"	"94.42"	"6.48"	"90.15"	"5.95"	"6694572"	"5458"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR3985390rbin.9"	"SRR3985390"	"84.68"	"3.51"	"84.83"	"7.85"	"6046888"	"6862"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR3985395rbin.21"	"SRR3985395"	"84.62"	"7.68"	"84.33"	"8.35"	"5747469"	"6794"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR3985396rbin.21"	"SRR3985396"	"90.57"	"1.9"	"88.13"	"5.8"	"6260668"	"5441"	"high_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR3985424rbin.6"	"SRR3985424"	"76.069999999999993"	"4.82"	"79.25"	"4.9000000000000004"	"5221358"	"6678"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR3989121rbin.9"	"SRR3989121"	"94.54"	"6.22"	"91.18"	"3.41"	"6127552"	"7177"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
"SRR3989257rbin.11"	"SRR3989257"	"78.17"	"4.7300000000000004"	"82.16"	"4.9400000000000004"	"5343540"	"5260"	"medium_quality"	"yes"	"Current Solibacter MAG reference candidate; actual remote .fna directory is authoritative."
