smag_index	mag_id	completeness	contamination	genome_length_bp	n50	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	closest_references	derep_sgb_taxonomy	checkm2_completeness	checkm2_contamination	genome_size_bp_checkm2	total_coding_sequences	quality_group	source_file	source_sheet	row_number
5773	SRR10489815bin.32	57.8	1.75	3991533	4235	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCF_000014905.1, s__Solibacter usitatus, 95.0, 78.99, 0.41	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp017883345	65.7	1.99	3991533	4413	low_or_partial_quality	Supplementary Data 2.xlsx	Supplementary Data 2	5775
10881	SRR11833744bin.14	58	3.36	5586376	8911	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCA_003136215.1, s__Solibacter sp003136215, 95.0, 78.48, 0.31	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	70	6.68	5586376	5215	low_or_partial_quality	Supplementary Data 2.xlsx	Supplementary Data 2	10883
14226	SRR12756247bin.2	95.18	6.24	6036700	11698	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__	95.29	2.15	6036700	6055	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	14228
16800	SRR3984960rbin.11	58.33	3.45	4059438	5615	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCF_000014905.1, s__Solibacter usitatus, 95.0, 78.59, 0.49	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp017883345	63.22	3.29	4059438	4234	low_or_partial_quality	Supplementary Data 2.xlsx	Supplementary Data 2	16802
16861	SRR3984963rbin.20	59.65	8.68	4017146	2765	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCF_000014905.1, s__Solibacter usitatus, 95.0, 78.45, 0.52	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp017883345	59.63	8.51	4017146	4463	low_or_partial_quality	Supplementary Data 2.xlsx	Supplementary Data 2	16863
16899	SRR3985190rbin.9	94.42	6.48	6694572	5458	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCF_000014905.1, s__Solibacter usitatus, 95.0, 78.94, 0.43	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp017883345	90.15	5.95	6694572	6962	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	16901
17023	SRR3985390rbin.9	84.68	3.51	6046888	6862	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCF_000014905.1, s__Solibacter usitatus, 95.0, 78.91, 0.43	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp017883345	84.83	7.85	6046888	6201	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	17025
17060	SRR3985395rbin.21	84.62	7.68	5747469	6794	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCF_000014905.1, s__Solibacter usitatus, 95.0, 78.98, 0.47	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp017883345	84.33	8.35	5747469	5769	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	17062
17083	SRR3985396rbin.21	90.57	1.9	6260668	5441	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCF_000014905.1, s__Solibacter usitatus, 95.0, 79.01, 0.46	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp017883345	88.13	5.8	6260668	6612	high_quality	Supplementary Data 2.xlsx	Supplementary Data 2	17085
17180	SRR3985424rbin.6	76.069999999999993	4.82	5221358	6678	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__	GCF_000014905.1, s__Solibacter usitatus, 95.0, 79.1, 0.45	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter sp017883345	79.25	4.9000000000000004	5221358	5350	medium_quality	Supplementary Data 2.xlsx	Supplementary Data 2	17182
