"bioproject"	"biosample"	"assembly_accession"	"source_type"	"ecosystem"	"location"	"latitude"	"longitude"	"acidic_soil"	"pH"	"pH_source"	"soil_source_evidence"	"recommendation"	"overlap_class"
"PRJNA1004092"	"SAMN36922701"	"GCA_032666425.1"	"NCBI_Solibacter_source_project_reads"	"Paddy soil"	"China: Chenzhou"	""	""	"yes"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"paddy soil"	"DO_NOT_ADD_PRIMARY"	"external_no_28SRR_biosample_or_bioproject_overlap"
"PRJNA1004092"	"SAMN36922711"	"GCA_032665965.1"	"NCBI_Solibacter_source_project_reads"	"Paddy soil"	"China: Chenzhou"	""	""	"yes"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"paddy soil"	"DO_NOT_ADD_PRIMARY"	"external_no_28SRR_biosample_or_bioproject_overlap"
"PRJNA1004092"	"SAMN36922810"	"GCA_032663185.1"	"NCBI_Solibacter_source_project_reads"	"Paddy soil"	"China: Chenzhou"	""	""	"yes"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"paddy soil"	"DO_NOT_ADD_PRIMARY"	"external_no_28SRR_biosample_or_bioproject_overlap"
"PRJNA1004092"	"SAMN36922819"	"GCA_032662945.1"	"NCBI_Solibacter_source_project_reads"	"Paddy soil"	"China: Chenzhou"	""	""	"yes"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"paddy soil"	"DO_NOT_ADD_PRIMARY"	"external_no_28SRR_biosample_or_bioproject_overlap"
"PRJNA1084886"	"SAMN40287673"	"GCA_050014175.1"	"NCBI_Solibacter_source_project_reads"	"Wetland"	"Balsam, Minnesota, USA"	"47.5"	"-93.45"	"yes"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"Peat samples collected from the inside of the SPRUCE enclosures"	"ADD_PRIMARY"	"external_no_28SRR_biosample_or_bioproject_overlap"
"PRJNA588342"	"SAMN16072646"	"GCA_017883355.1"	"NCBI_Solibacter_source_project_reads"	"Tundra"	"Chersky, Russia"	"68.6131"	"161.3414"	"yes"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"permafrost soil"	"ADD_SENSITIVITY_NOT_PRIMARY"	"near_overlap_same_bioproject"
"PRJNA588342"	"SAMN16072647"	"GCA_017883345.1"	"NCBI_Solibacter_source_project_reads"	"Tundra"	"Chersky, Russia"	"68.6131"	"161.3414"	"yes"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"permafrost soil"	"ADD_SENSITIVITY_NOT_PRIMARY"	"near_overlap_same_bioproject"
"PRJNA682830"	"SAMN17837109"	"GCA_025463045.1"	"NCBI_Solibacter_source_project_reads"	"Burned soil"	"Wyoming, USA"	""	""	"yes"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"high severity burned soil"	"ADD_SECONDARY_AFTER_DEREP"	"external_no_28SRR_biosample_or_bioproject_overlap"
"PRJNA746701"	"SAMN38392860"	"GCA_039934035.1"	"NCBI_Solibacter_source_project_reads"	"Polar soil"	"Byers Peninsula, Livingston Island, Antarctica"	"-62.6774377"	"-60.895534"	"yes"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"antartic soil"	"ADD_PRIMARY"	"external_no_28SRR_biosample_or_bioproject_overlap"
"PRJNA746701"	"SAMN38392932"	"GCA_039932635.1"	"NCBI_Solibacter_source_project_reads"	"Polar soil"	"Byers Peninsula, Livingston Island, Antarctica"	"-62.6774377"	"-60.895534"	"yes"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"antartic soil"	"ADD_SECONDARY_AFTER_DEREP"	"external_no_28SRR_biosample_or_bioproject_overlap"
"PRJNA983538"	"SAMN37942431"	"GCA_035501655.1"	"NCBI_Solibacter_source_project_reads"	"Wetland"	"USA"	"26.5065"	"-80.2537"	"unknown"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"MIMAG Metagenome-assembled Genome sample from Candidatus Solibacter sp.; Candidatus Solibacter sp.; env_broad_scale=soil biome [ENVO:01001044]; env_local_scale=Wetland; env_medium=Wetland; geo_loc_name=USA; lat_lon=26.5065 N 80.2537 W"	"ADD_PRIMARY"	"external_no_28SRR_biosample_or_bioproject_overlap"
"PRJNA983538"	"SAMN37942488"	"GCA_035499815.1"	"NCBI_Solibacter_source_project_reads"	"Wetland"	"USA"	"26.5052"	"-80.2345"	"unknown"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"MIMAG Metagenome-assembled Genome sample from Candidatus Solibacter sp.; Candidatus Solibacter sp.; env_broad_scale=soil biome [ENVO:01001044]; env_local_scale=Wetland; env_medium=Wetland; geo_loc_name=USA; lat_lon=26.5052 N 80.2345 W"	"ADD_PRIMARY"	"external_no_28SRR_biosample_or_bioproject_overlap"
"PRJNA983538"	"SAMN37942504"	"GCA_035499595.1"	"NCBI_Solibacter_source_project_reads"	"Wetland"	"USA"	"26.5052"	"-80.2345"	"unknown"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"MIMAG Metagenome-assembled Genome sample from Candidatus Solibacter sp.; Candidatus Solibacter sp.; env_broad_scale=soil biome [ENVO:01001044]; env_local_scale=Wetland; env_medium=Wetland; geo_loc_name=USA; lat_lon=26.5052 N 80.2345 W"	"ADD_PRIMARY"	"external_no_28SRR_biosample_or_bioproject_overlap"
"PRJNA983538"	"SAMN37943437"	"GCA_035569605.1"	"NCBI_Solibacter_source_project_reads"	"Forest"	"USA"	"42.481016"	"-72.178343"	"unknown"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"MIMAG Metagenome-assembled Genome sample from Candidatus Solibacter sp.; Candidatus Solibacter sp.; env_broad_scale=soil biome [ENVO:01001044]; env_local_scale=Forest; env_medium=Forest; geo_loc_name=USA; lat_lon=42.481016 N 72.178343 W"	"ADD_SECONDARY_AFTER_DEREP"	"external_no_28SRR_biosample_or_bioproject_overlap"
"PRJNA983538"	"SAMN37943443"	"GCA_035569515.1"	"NCBI_Solibacter_source_project_reads"	"Forest"	"USA"	"42.481016"	"-72.178343"	"unknown"	""	"to_be_filled_from_BioSample_literature_or_OpenLandMap"	"MIMAG Metagenome-assembled Genome sample from Candidatus Solibacter sp.; Candidatus Solibacter sp.; env_broad_scale=soil biome [ENVO:01001044]; env_local_scale=Forest; env_medium=Forest; geo_loc_name=USA; lat_lon=42.481016 N 72.178343 W"	"ADD_SECONDARY_AFTER_DEREP"	"external_no_28SRR_biosample_or_bioproject_overlap"
